AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,NewLeague,,Years,Salary,Errors
315,81,7,24,38,39,14,3449,835,69,321,414,375,N,W,632,43,10,475,N,,14,475,10
479,130,18,66,72,76,3,1624,457,63,224,266,263,A,W,880,82,14,480,A,,3,480,14
496,141,20,65,78,37,11,5628,1575,225,828,838,354,N,E,200,11,3,500,N,,11,500,3
321,87,10,39,42,30,2,396,101,12,48,46,33,N,E,805,40,4,91.5,N,,2,91.5,4
594,169,4,74,51,35,11,4408,1133,19,501,336,194,A,W,282,421,25,750,A,,11,750,25
185,37,1,23,8,21,2,214,42,1,30,9,24,N,E,76,127,7,70,A,,2,70,7
298,73,0,24,24,7,3,509,108,0,41,37,12,A,W,121,283,9,100,A,,3,100,9
323,81,6,26,32,8,2,341,86,6,32,34,8,N,W,143,290,19,75,N,,2,75,19
401,92,17,49,66,65,13,5206,1332,253,784,890,866,A,E,0,0,0,1100,A,,13,1100,0
574,159,21,107,75,59,10,4631,1300,90,702,504,488,A,E,238,445,22,517.143,A,,10,517.143,22
202,53,4,31,26,27,9,1876,467,15,192,186,161,N,W,304,45,11,512.5,N,,9,512.5,11
418,113,13,48,61,47,4,1512,392,41,205,204,203,N,E,211,11,7,550,N,,4,550,7
239,60,0,30,11,22,6,1941,510,4,309,103,207,A,E,121,151,6,700,A,,6,700,6
196,43,7,29,27,30,13,3231,825,36,376,290,238,N,E,80,45,8,240,N,,13,240,8
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,N,W,105,290,10,775,N,,15,775,10
190,46,2,24,8,15,5,479,102,5,65,23,39,A,W,102,177,16,175,A,,5,175,16
127,32,8,16,22,14,8,727,180,24,67,82,56,N,W,202,22,2,135,N,,8,135,2
413,92,16,72,48,65,1,413,92,16,72,48,65,N,E,280,9,5,100,N,,1,100,5
426,109,3,55,43,62,1,426,109,3,55,43,62,A,W,361,22,2,115,N,,1,115,2
472,116,16,60,62,74,6,1924,489,67,242,251,240,N,W,518,55,3,600,N,,6,600,3
629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,A,E,1067,157,14,776.667,A,,18,776.667,14
587,163,4,92,51,70,6,2695,747,17,442,198,317,A,E,434,9,3,765,A,,6,765,3
324,73,4,32,18,22,7,1931,491,13,291,108,180,N,E,222,3,3,708.333,N,,7,708.333,3
474,129,10,50,56,40,10,2331,604,61,246,327,166,N,W,732,83,13,750,N,,10,750,13
550,152,6,92,37,81,5,2308,633,32,349,182,308,N,W,262,329,16,625,N,,5,625,16
513,137,20,90,95,90,14,5201,1382,166,763,734,784,A,W,267,5,3,900,A,,14,900,3
419,108,6,55,36,22,3,591,149,8,80,46,31,N,W,226,7,4,110,N,,3,110,4
583,168,17,83,80,56,5,1646,452,44,219,208,136,A,E,109,292,25,612.5,A,,5,612.5,25
204,49,6,23,25,12,7,1309,308,27,126,132,66,A,W,419,46,5,300,A,,7,300,5
379,106,10,38,60,30,14,6207,1906,146,859,803,571,N,W,72,170,24,850,N,,14,850,24
268,60,5,24,25,15,2,350,78,5,34,29,18,N,W,442,59,6,90,N,,2,90,6
181,41,1,15,21,33,2,232,50,4,20,29,45,A,E,326,29,5,67.5,A,,2,67.5,5
217,46,7,32,19,9,4,694,160,32,86,76,32,A,E,307,25,1,180,A,,4,180,1
254,68,2,28,26,22,6,999,236,21,108,117,118,A,E,359,30,4,305,A,,6,305,4
416,132,7,57,49,33,3,932,273,24,113,121,80,N,W,73,177,18,215,N,,3,215,18
205,57,8,34,32,9,5,756,192,32,117,107,51,A,E,58,4,4,247.5,A,,5,247.5,4
526,146,13,71,70,84,6,2648,715,77,352,342,289,N,W,303,9,9,815,N,,6,815,9
457,101,14,42,63,22,17,6521,1767,281,1003,977,619,A,W,389,39,4,875,A,,17,875,4
214,53,2,30,29,23,2,226,59,2,32,32,27,N,E,109,7,3,70,N,,2,70,3
591,168,19,80,72,39,9,4478,1307,113,634,563,319,A,W,67,147,4,1200,A,,9,1200,4
403,101,12,45,53,39,12,5150,1429,166,747,666,526,A,E,316,6,5,675,A,,12,675,5
405,102,18,49,85,20,6,950,231,29,99,138,64,N,W,161,10,3,415,N,,6,415,3
244,58,9,28,25,35,4,1335,333,49,164,179,194,N,W,142,14,2,340,N,,4,340,2
313,78,6,32,41,12,12,3742,968,35,409,321,170,N,W,106,206,7,416.667,N,,12,416.667,7
627,177,25,98,81,70,6,3210,927,133,529,472,313,A,E,240,482,13,1350,A,,6,1350,13
416,113,24,58,69,16,1,416,113,24,58,69,16,A,E,203,70,10,90,A,,1,90,10
155,44,6,21,23,15,16,6631,1634,98,698,661,777,N,E,53,88,3,275,N,,16,275,3
236,56,0,27,15,11,4,1115,270,1,116,64,57,A,W,125,199,13,230,A,,4,230,13
216,53,1,31,15,22,4,926,210,9,118,69,114,N,W,73,152,11,225,N,,4,225,11
585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,A,E,0,0,0,950,A,,17,950,0
199,53,5,29,22,21,3,514,120,8,57,40,39,A,W,152,3,5,75,A,,3,75,5
521,142,20,67,86,45,4,815,205,22,99,103,78,A,E,107,242,23,105,A,,4,105,23
